week,sales
03-01-2019,11
10-01-2019,16
17-01-2019,6
24-01-2019,25
31-01-2019,22
07-02-2019,22
14-02-2019,18
21-02-2019,15
28-02-2019,9
07-03-2019,16
14-03-2019,22
21-03-2019,39
28-03-2019,32
04-04-2019,32
11-04-2019,21
18-04-2019,22
25-04-2019,29
02-05-2019,27
09-05-2019,23
16-05-2019,20
23-05-2019,20
30-05-2019,14
06-06-2019,24
13-06-2019,26
20-06-2019,14
27-06-2019,19
04-07-2019,18
11-07-2019,8
18-07-2019,15
25-07-2019,19
01-08-2019,20
08-08-2019,26
15-08-2019,25
22-08-2019,13
29-08-2019,15
05-09-2019,24
12-09-2019,18
19-09-2019,23
26-09-2019,17
03-10-2019,21
10-10-2019,25
17-10-2019,26
24-10-2019,4
31-10-2019,10
07-11-2019,18
14-11-2019,11
21-11-2019,12
28-11-2019,13
05-12-2019,4
12-12-2019,2
19-12-2019,6
26-12-2019,3
02-01-2020,4
09-01-2020,4
16-01-2020,5
23-01-2020,18
30-01-2020,10
06-02-2020,6
13-02-2020,6
20-02-2020,15
27-02-2020,8
05-03-2020,21
