New SKU,Brand,Upstream Contact,Type,Location,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63
GN1576961-Z-WH19706,Mudramark,WOODENMOOD,HB-SW,Mumbai,64374,64374,64374,64374,64999,64999,64999,64999,67499,67499,23010,67499,67499,67499,67499,61249,38749,52499,52499,52499,52499,61249,61249,61249,63999,63999,65999,61874,65624,65624,69999,69999,72499,72499,66874,66874,66874,66874,66874,66874,66874,52499,52499,52499,46249,47499,58124,58124,49999,50999,52499,55199,62799,62799,55142,56099,56699,56699,56699,47199,52599,66899,71699
GN1576961-Z-WH32492,Mudramark,Woodenmood,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52499,52499,46249,47499,58124,58124,49999,50999,52499,55199,62799,62799,55142,56099,56699,56699,56699,47199,52599,66899,71699
GN7828171-Z-WH19566,Woodsworth,Incredible Handicrafts and Minerals,HB-SW,Mumbai,46249,43124,43124,43124,43749,43749,43749,43749,47499,47499,20532,47499,47499,47499,47499,47499,47499,47499,47499,47499,47499,47499,47499,47499,55332,55332,58666,54999,58124,58124,61874,61874,63749,63749,58124,58124,58124,58124,59999,59999,59999,59999,59999,59999,59999,61874,59999,59999,49999,50999,52499,55299,62932,62666,62713,64499,64499,63299,63299,50999,51599,56599,60699
GN7828171-Z-WH32476,Woodsworth,Incredible Handicrafts and Minerals,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59999,49999,50999,52499,55299,62932,62666,62713,64499,64499,63299,63299,50999,51599,56599,60699
GN9415061-Z-WH4248,Amberville,Vishwakarma Antique,HB-SW,Mumbai,0,33749,33749,33749,33749,33749,33749,33749,34999,34999,13305,34999,0,0,0,0,0,0,33749,33749,33749,22499,22499,29999,0,0,0,0,24374,24374,36874,36874,38124,38124,35624,35624,35624,35624,35624,35624,35624,35624,35624,35624,35624,36874,35624,35624,30999,31999,33499,35399,37999,40799,40856,42299,42299,42299,42299,33499,26799,34399,33099
GN9415061-Z-WH10718,Amberville,Woodsmith Creations,HB-SW,Mumbai,33749,33749,33749,33749,33749,33749,33749,33749,34999,34999,13305,34999,34999,34999,34999,33749,33749,33749,33749,33749,33749,22499,22499,29999,23999,23999,24666,23124,24374,24374,36874,36874,38124,38124,35624,35624,35624,35624,35624,35624,35624,35624,35624,35624,35624,36874,35624,35624,30999,31999,33499,35399,37999,40799,40856,42299,42299,42299,42299,33499,26799,34399,33099
GN2218871-Z-WH32475,Amberville,Gangadhar Ratanlal Furniture Showroom,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69999,72499,69999,69999,60999,61999,63499,67399,72532,76666,76713,73799,73799,73799,66499,53699,54299,63099,67699
GN2605761-Z-WH21497,Amberville,GANGADHAR RATANLAL FURNITURE SHOWROOM,HB-SW,Mumbai,39999,39999,39999,39999,39999,39999,39999,39999,41249,41249,14573,41249,41249,41249,41249,41249,41249,41249,41249,41249,41249,41249,41249,41249,45332,45332,48666,45624,48749,48749,45624,45624,47499,47499,44374,44374,44374,44374,44374,44374,44374,44374,44374,44374,44374,45624,44374,44374,38999,39999,41499,44099,45865,45866,45999,47699,47699,44199,44199,35399,35799,39899,42799
GN2605761-Z-WH32475,Amberville,Gangadhar Ratanlal Furniture Showroom,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44374,45624,44374,44374,38999,39999,41499,44099,45865,45866,45999,47699,47699,44199,44199,35399,35799,39899,42799
GN3002061-Z-WH22879,Amberville,Designs Craft Inc,HB-SW,Mumbai,64999,64999,64999,64999,64999,64999,64999,64999,67499,67499,24544,65624,65624,65624,66249,66249,66249,66249,66249,66249,66249,71249,76249,76249,75999,75999,54666,51249,41249,41249,71249,71249,73124,73124,78124,78124,78124,78124,78124,78124,78124,78124,78124,78124,78124,80624,78124,78124,68999,69999,71499,75999,80799,80799,80856,83899,83899,73499,73499,59399,48399,71999,68699
GN5371061-Z-WH22879,Amberville,Designs Craft Inc,HB-SW,Mumbai,24999,24999,24999,24999,24999,24999,24999,24999,26249,26249,9676,16249,16249,25624,26249,26249,24374,24999,24999,24999,24999,24999,24999,26249,29332,29332,31332,29374,31249,31249,31249,31249,32499,32499,28749,28749,28749,28749,28749,28749,28749,28749,28749,28749,28749,29374,28749,28749,24999,25999,26499,28099,31199,31199,31285,30199,30199,30199,30199,24099,24399,29099,31199
GN3371061-Z-WH22879,Amberville,Designs Craft Inc,HB-SW,Mumbai,46249,46249,46249,46249,46249,46249,46249,46249,47499,47499,17936,47499,47499,47499,47499,47499,47499,47499,47499,47499,47499,47499,47499,49999,53332,53332,56666,53124,56249,56249,44374,44374,45624,45624,51874,51874,51874,51874,51874,51874,51874,51874,51874,51874,51874,54999,53124,53124,45999,46999,48499,51299,57866,57866,57999,60099,60099,57999,57999,46199,46699,55599,59599
GN4227661-Z-WH10719,Woodsworth,Myyra,HB-SW,Mumbai,0,36874,36874,36874,37499,37499,37499,37499,41249,41249,17932,41249,41249,41249,41249,41249,41249,41249,41249,41249,41249,41249,42249,42249,45066,45066,45066,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,42249,34999,39999,44549,46799,52266,53999,53999,55399,55399,45499,45499,38099,43499,56599,60699
GN6227661-Z-WH10719,Woodsworth,Myyra,HB-SW,Mumbai,43124,40624,40624,40624,41249,41249,41249,41249,44999,44999,19088,44999,44999,44999,44999,44999,44999,44999,44999,44999,44999,44999,45999,45999,49066,49066,49066,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,45999,37999,39999,44399,46499,51866,60266,60285,62099,62099,62099,58799,47599,48099,60399,64799
GN9127661-Z-WH10719,Woodsworth,Myyra,HB-SW,Mumbai,21874,20624,20624,20624,21249,21249,21249,21249,23124,23124,9995,23124,23124,23124,23749,23749,23749,23749,23749,23749,23749,23749,24749,24749,26666,26666,26666,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,28124,28124,26874,26874,21999,22999,24649,25899,28666,28666,28713,29499,29499,29499,29499,23899,24199,30799,32999
GN6127661-Z-WH10719,Woodsworth,Myyra,HB-SW,Mumbai,0,36874,36874,36874,36874,36874,36874,36874,39999,39999,17932,39999,39999,39999,39999,39999,39999,39999,39999,39999,39999,39999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,39999,42999,45499,47899,53599,53999,53999,55399,55399,45499,45499,38099,43499,56599,60699
GN3127661-Z-WH10719,Woodsworth,Myyra,HB-SW,Mumbai,35624,33124,33124,33124,33124,33124,33124,33124,36249,36249,15618,36249,36249,36249,36249,36249,36249,36249,36249,36249,36249,36249,37249,37249,39732,39732,39732,37249,37249,37249,37249,37249,37249,37249,37249,37249,37249,37249,37249,37249,37249,32499,32499,32499,32499,32499,41249,41249,33999,36999,39499,41599,45732,45732,45856,47099,47099,47099,46299,37599,39899,48499,51999
GN4127661-Z-WH10719,Woodsworth,Myyra,HB-SW,Mumbai,0,29999,29999,29999,29999,29999,29999,29999,32499,32499,14460,32499,32499,32499,32499,32499,32499,32499,32499,32499,32499,32499,33499,33499,35732,35732,35732,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,33499,27999,32999,36449,38399,41732,41732,41856,42899,42899,42099,42099,34299,36399,44799,47999
GN2274471-Z-WH2194,Woodsworth,Appu Art & Handicrafts,HB-SW,Mumbai,0,0,0,0,0,0,0,24999,24999,24999,11564,28124,28124,28124,28749,28749,28749,29999,29999,29999,29999,29999,31249,31249,33332,33332,35332,39999,42499,42499,47499,47499,49374,41874,38124,38124,38124,38124,39374,39374,39374,39374,39374,39374,39374,40624,39374,39374,31999,32999,34499,36399,39199,39199,39285,40399,40399,40399,40399,32599,32999,36199,38799
GN9824471-Z-WH2194,Woodsworth,Appu Art & Handicrafts,HB-SW,Mumbai,0,0,0,0,0,0,0,24999,24999,24999,11564,28124,28124,28124,28749,28749,28749,28749,28749,28749,28749,28749,29999,29999,31999,31999,33999,38749,41249,41249,46249,46249,48124,41874,34999,34999,34999,34999,36249,36249,36249,36249,36249,36249,36249,37499,36249,36249,29999,30999,33299,35099,37599,39199,39285,40399,40399,40399,40399,32599,32999,36199,38799
GN2624471-Z-WH2194,Woodsworth,Appu Art & Handicrafts,HB-SW,Mumbai,0,0,0,0,0,0,0,39999,39999,39999,18644,44999,44999,44999,44999,44999,44999,46249,46249,46249,46249,46249,46249,46249,50666,50666,53332,62499,66249,66249,74374,74374,76874,62499,51874,51874,51874,51874,53124,53124,53124,53124,53124,53124,53124,56249,54999,54999,44999,45999,49499,52099,58932,61599,61713,63699,63699,60699,60699,48799,49299,53399,57299
GN8764471-Z-WH2194,Woodsworth,Appu Art & Handicrafts,HB-SW,Mumbai,0,0,0,0,0,0,0,44999,44999,44999,20178,48124,48124,48124,48749,48749,48749,49999,49999,49999,49999,49999,49999,49999,55332,55332,58666,60624,64374,64374,71874,71874,74374,64999,58749,58749,58749,58749,60624,60624,60624,60624,60624,60624,60624,62499,60624,60624,49999,50999,52499,55299,62932,62932,62999,64999,64999,64999,62499,50399,50999,55599,59599
GN1517761-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,30624,28749,28749,28749,28749,28749,28749,28749,31249,31249,12980,31249,31249,31249,33749,33749,33749,33749,33749,33749,33749,26249,26249,31249,27999,27999,38666,36249,38124,38124,40624,40624,41874,41874,36874,36874,36874,36874,38124,38124,38124,38124,38124,38124,38124,39374,38124,38124,30999,31999,33499,35299,37866,37866,37999,38999,38999,38999,32999,27599,23099,35599,38199
GN1527951-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,27499,25624,25624,25624,27499,27499,27499,27499,29999,29999,12508,29999,29999,29999,32499,32499,32499,32499,32499,32499,32499,32499,32499,34374,37999,37999,40666,38124,40624,40624,40624,40624,41874,41874,36874,36874,36874,36874,38124,38124,38124,38124,38124,38124,38124,39374,38124,38124,30999,31999,33499,35399,37999,37999,37999,39199,39199,39199,39199,31599,31999,34599,37099
GN6517761-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,26874,24999,24999,24999,24999,24999,24999,24999,27499,27499,11328,27499,27499,27499,29999,29999,29999,29999,29999,29999,29999,19374,19374,26874,28666,28666,32666,30624,32499,32499,34374,34374,35624,35624,29999,29999,29999,29999,30624,30624,30624,30624,30624,30624,30624,31249,30624,30624,24999,25999,27799,29199,32799,32799,32856,33699,33699,33699,29499,24599,27299,31399,33699
GN6517761-Z-WH32531,Woodsworth,Shree Vinayak Corporation,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30624,24999,25999,27799,29199,32799,32799,32856,33699,33699,33699,29499,24599,27299,31399,33699
GN9517761-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,24999,23124,23124,23124,23749,23749,23749,23749,26249,26249,10856,26249,26249,26249,28749,28749,28749,28749,28749,28749,28749,18124,18124,25624,27332,27332,26666,24999,28124,28124,29374,29374,29999,29999,27499,27499,27499,27499,28124,28124,28124,28124,28124,28124,28124,32499,24999,24999,19999,20999,22399,23399,25466,25466,25570,25899,25899,26799,26799,22599,18999,28299,27399
GN9027951-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,51249,45624,45624,45624,47499,47499,47499,47499,51249,51249,21240,51249,51249,51249,54999,54999,54999,54999,54999,54999,54999,54999,54999,58124,63999,63999,67999,63749,68124,68124,68124,68124,70624,70624,59999,59999,59999,59999,61874,61874,61874,52499,52499,52499,48124,61874,59999,59999,49999,50999,54149,56999,64932,64932,64999,66899,66899,66899,66899,53699,54299,58799,62999
