week,sales
03-01-2019,201
10-01-2019,143
17-01-2019,148
24-01-2019,133
31-01-2019,138
07-02-2019,153
14-02-2019,136
21-02-2019,186
28-02-2019,141
07-03-2019,175
14-03-2019,171
21-03-2019,193
28-03-2019,182
04-04-2019,170
11-04-2019,169
18-04-2019,181
25-04-2019,117
02-05-2019,193
09-05-2019,190
16-05-2019,189
23-05-2019,161
30-05-2019,167
06-06-2019,234
13-06-2019,173
20-06-2019,231
27-06-2019,170
04-07-2019,153
11-07-2019,151
18-07-2019,205
25-07-2019,148
01-08-2019,110
08-08-2019,122
15-08-2019,95
22-08-2019,105
29-08-2019,154
05-09-2019,196
12-09-2019,140
19-09-2019,162
26-09-2019,141
03-10-2019,182
10-10-2019,194
17-10-2019,189
24-10-2019,44
31-10-2019,60
07-11-2019,66
14-11-2019,93
21-11-2019,72
28-11-2019,96
05-12-2019,78
12-12-2019,90
19-12-2019,77
26-12-2019,78
02-01-2020,69
09-01-2020,67
16-01-2020,65
23-01-2020,104
30-01-2020,59
06-02-2020,81
13-02-2020,64
20-02-2020,63
27-02-2020,73
05-03-2020,93
